실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,5,-0.5179995894,1.889680266,1.214783192,2.902350426,-3.537185192,0.15116781
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,6,-0.5179995894,1.889680266,1.214783192,2.902350426,-3.537185192,0.15116781
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,7,-0.4941365123,1.853106856,1.188623071,2.902349234,-3.537184715,0.1504433751
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,8,-0.4941365123,1.853106856,1.188623071,2.902349234,-3.537184715,0.1504433751
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,9,-0.490546912,1.832899094,1.181507111,2.902352571,-3.537186384,0.1527270377
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,4,10,-0.490546912,1.832899094,1.181507111,2.902352571,-3.537186384,0.1527270377
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,1,-0.4815960526,1.932095766,1.293391466,2.902352333,-3.537186146,0.152583614
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,2,-0.4700864553,1.939652801,1.256294727,2.902351379,-3.537185907,0.1519396752
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,3,-0.4700864553,1.939652801,1.256294727,2.902351379,-3.537185907,0.1519396752
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,4,-0.4727807641,1.93528676,1.296886921,2.902354479,-3.537187338,0.1540534496
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,5,-0.4727807641,1.93528676,1.296886921,2.902354479,-3.537187338,0.1540534496
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,6,-0.516281426,1.88757062,1.335661888,2.902352333,-3.537186146,0.1525122821
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,7,-0.516281426,1.88757062,1.335661888,2.902352333,-3.537186146,0.1525122821
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,8,-0.5219275951,1.889733672,1.373787403,2.902348995,-3.537184477,0.1502313316
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,9,-0.5219275951,1.889733672,1.373787403,2.902348995,-3.537184477,0.1502313316
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,5,10,-0.5422300696,1.87071538,1.379821181,2.902351141,-3.537185669,0.1517835557
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,1,-0.5475016832,1.880641341,1.30882287,2.902350426,-3.537185431,0.1512505412
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,2,-0.5259814262,1.923113465,1.312154055,2.902348995,-3.537184477,0.1501608193
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,3,-0.5259814262,1.923113465,1.312154055,2.902348995,-3.537184477,0.1501608193
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,4,-0.5432826281,1.926393151,1.350917339,2.902354956,-3.537187576,0.1543827504
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,5,-0.5432826281,1.926393151,1.350917339,2.902354956,-3.537187576,0.1543827504
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,6,-0.5910309553,1.861173034,1.389034033,2.902350903,-3.537185669,0.1516420692
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,7,-0.5910309553,1.861173034,1.389034033,2.902350903,-3.537185669,0.1516420692
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,8,-0.5747031569,1.900845766,1.387984157,2.902350426,-3.537185192,0.1512256861
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,9,-0.5747031569,1.900845766,1.387984157,2.902350426,-3.537185192,0.1512256861
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,6,10,-0.5659803748,1.879654527,1.319760919,2.902348518,-3.537184477,0.1499727368
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,1,-0.5794006586,1.927519202,1.21024394,2.902349949,-3.537185192,0.1509654075
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,2,-0.5794006586,1.927519202,1.21024394,2.902349949,-3.537185192,0.1509654075
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,3,-0.5582787395,1.943037868,1.213569164,2.902351379,-3.537185669,0.1518432796
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,4,-0.5582787395,1.943037868,1.213569164,2.902351379,-3.537185669,0.1518432796
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,5,-0.5663714409,1.951763868,1.219758272,2.902353048,-3.537186623,0.1530109197
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,6,-0.5663714409,1.951763868,1.219758272,2.902353048,-3.537186623,0.1530109197
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,7,-0.594399631,1.930941701,1.23534739,2.902352333,-3.537186146,0.1525058448
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,8,-0.594399631,1.930941701,1.23534739,2.902352333,-3.537186146,0.1525058448
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,9,-0.6192986369,1.903819442,1.232674241,2.902351141,-3.537185669,0.1516588777
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,7,10,-0.6192986369,1.903819442,1.232674241,2.902351141,-3.537185669,0.1516588777
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,1,-0.6856509447,1.980371594,1.236466765,2.90234828,-3.537184238,0.1497726589
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,2,-0.7080734372,1.945151567,1.203487992,2.902347326,-3.537183762,0.1490358114
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,3,-0.7080734372,1.945151567,1.203487992,2.902347326,-3.537183762,0.1490358114
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,4,-0.681607008,1.963328481,1.195181012,2.902345896,-3.537183046,0.1480364203
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,5,-0.681607008,1.963328481,1.195181012,2.902345896,-3.537183046,0.1480364203
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,6,-0.6777213812,1.993056178,1.204224706,2.902344942,-3.53718257,0.1474614292
