실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,1,57.990,-1.1950494050979614,1.4630870819091797,0.5741910934448242,-1.0995277932579484e-07,1.3097761097924376e-07,0.15879829227924347,0.2829444706439972
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,2,58.810,-1.2601114511489868,1.4250819683074951,0.5572212338447571,-1.0334799327438304e-07,1.231098849530099e-07,0.14925938844680786,0.27632078528404236
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,3,59.630,-1.1539053916931152,1.4105892181396484,0.49075907468795776,-1.0793010574161599e-07,1.2856817477313598e-07,0.15587706863880157,0.2724519968032837
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,4,60.450,-1.2164041996002197,1.4415814876556396,0.5470569729804993,-1.091689583176958e-07,1.3004391519189085e-07,0.15766626596450806,0.2857220768928528
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,5,61.270,-1.1770050525665283,1.3857421875,0.6051921248435974,-1.0647582371348108e-07,1.2683580052907928e-07,0.15377673506736755,0.2786336839199066
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,6,62.090,-1.0758455991744995,1.3608235120773315,0.535807192325592,-1.1099820085291867e-07,1.3222293659964635e-07,0.1603081226348877,0.2872319221496582
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,7,62.914,-1.0461065769195557,1.3518275022506714,0.5380189418792725,-1.0882587275773403e-07,1.2963522522113635e-07,0.15717075765132904,0.2972760796546936
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,8,63.730,-1.048718810081482,1.3613308668136597,0.6581854820251465,-1.1117891318690454e-07,1.3243820262687223e-07,0.16056913137435913,0.2905120551586151
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,9,64.550,-0.9639350175857544,1.3237359523773193,0.6404162049293518,-1.105463027784026e-07,1.316846294230345e-07,0.15965548157691956,0.2871335744857788
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,10,65.373,-0.9062644243240356,1.2960997819900513,0.5698996186256409,-1.0918746795596235e-07,1.3006595622755412e-07,0.15769299864768982,0.2846144735813141
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,11,66.190,-0.9443244338035583,1.2956963777542114,0.6206888556480408,-1.0873580436054908e-07,1.2952793326803658e-07,0.15704068541526794,0.2945071756839752
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,12,67.013,-0.9800990223884583,1.3093678951263428,0.6797652244567871,-1.0683931606081387e-07,1.2726880527225148e-07,0.1543017029762268,0.2926028370857239
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,13,67.830,-0.9507865905761719,1.2964915037155151,0.6247455477714539,-1.0866541799714469e-07,1.2944408922521689e-07,0.15693902969360352,0.27702271938323975
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,14,68.650,-0.9059666991233826,1.2639976739883423,0.5397366285324097,-1.0664650318403801e-07,1.2703911522748967e-07,0.15402323007583618,0.29431942105293274
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,15,69.474,-0.9387708902359009,1.3296571969985962,0.6338567733764648,-1.1128306454111225e-07,1.3256227759939065e-07,0.16071954369544983,0.28725725412368774
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,16,70.291,-0.9851062893867493,1.352168083190918,0.6520794630050659,-1.1053501225433138e-07,1.316711717436192e-07,0.1596391797065735,0.28570833802223206
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,17,71.111,-0.9862354397773743,1.3131645917892456,0.5462101101875305,-1.1041370129305506e-07,1.3152667577287502e-07,0.15946397185325623,0.2713530957698822
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,18,71.930,-1.0250906944274902,1.3385015726089478,0.45223745703697205,-1.0916050996456761e-07,1.3003383969589777e-07,0.1576540619134903,0.2775878608226776
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,19,72.751,-1.0880969762802124,1.389439582824707,0.5314033031463623,-1.0972776465223433e-07,1.3070956583760562e-07,0.15847331285476685,0.28658801317214966
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,1,20,73.570,-1.1669580936431885,1.4007790088653564,0.6078365445137024,-1.0981754172689762e-07,1.3081651673019223e-07,0.1586029827594757,0.28355249762535095
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,1,75.390,-1.2250277996063232,1.4080836772918701,0.5451598763465881,-1.0494346014411349e-07,1.250104304517663e-07,0.1515636295080185,0.28268685936927795
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,2,76.214,-1.2084665298461914,1.4478191137313843,0.516148030757904,-1.1119546172722039e-07,1.324579130823622e-07,0.16059303283691406,0.29294553399086
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,3,77.031,-1.2403827905654907,1.4613136053085327,0.565690279006958,-1.0994219223903201e-07,1.3096500595111138e-07,0.15878300368785858,0.2789180278778076
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,4,77.850,-1.1678924560546875,1.4123860597610474,0.4947494566440582,-1.0769419844791628e-07,1.2828715512114286e-07,0.15553635358810425,0.2873585820198059
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,5,78.671,-1.1764417886734009,1.4174408912658691,0.5720059871673584,-1.0601678468447062e-07,1.2628899526134774e-07,0.15311376750469208,0.2901877462863922
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,6,79.490,-1.1779385805130005,1.3952773809432983,0.6256438493728638,-1.0758710544678252e-07,1.281595842783645e-07,0.1553816944360733,0.3006729483604431
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,7,80.313,-1.094935655593872,1.3598793745040894,0.5853843092918396,-1.1003452016211668e-07,1.3107498375575233e-07,0.15891633927822113,0.30238401889801025
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,8,81.130,-1.095542550086975,1.3692578077316284,0.6541603803634644,-1.0908391345765267e-07,1.2994260600862617e-07,0.15754345059394836,0.27281323075294495
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,9,81.951,-1.0417401790618896,1.3191052675247192,0.569253146648407,-1.0950415685329062e-07,1.304432117876786e-07,0.15815037488937378,0.28960391879081726
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,10,82.771,-0.9932817220687866,1.3133667707443237,0.5740295052528381,-1.0821411677852666e-07,1.289064925913408e-07,0.15628723800182343,0.2863048315048218
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,11,83.591,-0.9718689322471619,1.3073748350143433,0.5783071517944336,-1.0850739329271164e-07,1.292558380328046e-07,0.15671080350875854,0.2770884931087494
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,12,84.411,-0.9256174564361572,1.2875722646713257,0.5704339146614075,-1.091390942065118e-07,1.3000833121168398e-07,0.15762312710285187,0.2845478653907776
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,13,85.234,-0.9276934266090393,1.2900038957595825,0.6012451648712158,-1.0752755486009846e-07,1.280886436916262e-07,0.15529568493366241,0.27884289622306824
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,14,86.051,-0.9033247232437134,1.270151972770691,0.5603116154670715,-1.0955779572441315e-07,1.3050710379047814e-07,0.1582278311252594,0.2874462902545929
scoop3_total133g_09211836_set1,scoop3,scoop3_total_133g,133,2,15,86.871,-0.9464510679244995,1.2973015308380127,0.6178273558616638,-1.0930686755727947e-07,1.3020819267239858e-07,0.15786543488502502,0.2886973023414612
